SourceCompnayName,TargetCompanyName,CommunicationType
British Telecomm,SHAPE,Wireless
British Telecomm,Telfort,Wireless
British Telecomm,British Airways,Wireless
SHAPE,TVSAT-2,Wireless
SHAPE,Tchibo Mobilfunk,Both
SHAPE,Telfort,Both
SHAPE,DB,Landline
DB,Telfort,Landline
DB,Tchibo Mobilfunk,Landline
DB,Siemens,Landline
Siemens,Tchibo Mobilfunk,Landline
Siemens,Kreditech,Landline
Siemens,Thyssen AG,Landline
Siemens,BAWAG,Landline
Siemens,AMS AG,Landline
AMS AG,BAWAG,Landline
AMS AG,Stroh,Landline
AMS AG,Palais Coburg*,Landline
AMS AG,DeLonghi,Landline
SES,Oslo Plaza*,Wireless
SES,Dansmark NationalBank,Wireless
SES,SAAB Group,Wireless
Oslo Plaza*,Yamal 300K,Wireless
Oslo Plaza*,SAAB Group,Both
Oslo Plaza*,HMD Global,Landline
Oslo Plaza*,Rossiya,Both
Yamal 300K,Rossiya,Wireless
Rossiya,HMD Global,Both
Rossiya,Telia Company AB,Wireless
Rossiya,Gazprom,Both
Rossiya,SVR,Landline
Telia Company AB,HMD Global,Wireless
Telia Company AB,SAAB Group,Wireless
Telia Company AB,Gazprom,Wireless
Telia Company AB,DFS Kopernikus-2,Wireless
SAAB Group,DFS Kopernikus-2,Wireless
SAAB Group,Dansmark NationalBank,Both
SAAB Group,DFS Kopernikus-2,Wireless
Dansmark Nationalbank,DFS Kopernikus-2,Wireless
DFS Kopernikus-2,Tchibo Mobilfunk,Wireless
DFS Kopernikus-2,Kreditech,Wireless
DFS Kopernikus-2,Gazprom,Wireless
DFS Kopernikus-2,OHB SE,Wireless
Gazprom,SVR,Landline
Gazprom,OHB SE,Both
Gazprom,Azimut*,Landline
Azimut*,SVR,Landline
Azimut*,OHB SE,Landline
Azimut*,Sukhoi,Landline
Azimut*,Thyssen AG,Landline
Azimut*,AVL,Landline
OHB SE,Thyssen AG,Landline
Thyssen AG,Kreditech,Landline
Thyssen AG,AVL,Landline
Thyssen AG,BAWAG,Landline
Sukhoi,SVR,Landline
Sukhoi,Zaliv Shipbuilding,Landline
Sukhoi,AVL,Landline
Sukhoi,Conax,Landline
BAWAG,AVL,Landline
BAWAG,Stroh,Landline
Stroh,Uniqa,Landline
Stroh,Palais Coburg*,Landline
Stroh,AVL,Landline
Palais Coburg*,Uniqa,Landline
Palais Coburg*,Lasta,Landline
Palais Coburg*,DeLonghi,Both
Palais Coburg*,Raiffeisen Bank,Both
Palais Coburg*,Telecom Austria Group,Wireless
DeLonghi,Telecom Austria Group,Wireless
DeLonghi,Ferrari,Both
Ferrai,Telecom Austria Group,Wireless
Ferrai,MEASAT-3,Wireless
Ferrai,Telecom Italia,Both
MEASAT-3,Telecom Italia,Wireless
MEASAT-3,Telecom Austria Group,Wireless
MEASAT-3,Raiffeisen Bank,Wireless
MEASAT-3,Costamare,Wireless
MEASAT-3,Turkcell,Wireless
MEASAT-3,Turksat 2A,Wireless
Zaliv Shipbuilding,Tersan Shipyard,Both
Zaliv Shipbuilding,Cesky Telecom,Wireless
Zaliv Shipbuilding,Conax,Both
Uniqa,AVL,Landline
Uniqa,Conax,Landline
Uniqa,Lasta,Landline
Lasta,Conax,Landline
Lasta,Balkan,Landline
Lasta,Costamare,Landline
Lasta,Raiffeisen Bank,Landline
Conax,Balkan,Both
Balkan,Cesky Telecom,Wireless
Balkan,TCDD,Both
Balkan,Turkcell,Wireless
Balkan,Costamare,Both
Turkcell,Costamare,Wireless
Turkcell,Turksat 2A,Wireless
Turkcell,TCDD,Wireless
Turkcell,Denizbank,Wireless
Denizbank,Turksat 2A,Wireless
Denizbank,TCDD,Both
Denizbank,MIT,Both
Denizbank,HFSA,Landline
Denizbank,Tersan Shipyard,Landline
MIT,Turksat 2A,Wireless
MIT,Tersan Shipyard,Landline
Tersan Shipyard,HFSA,Both
Tersan Shipyard,Cesky Telecom,Wireless
Cesky Telecom,Conax,Wireless
Cesky Telecom,TCDD,Wireless
HFSA,TCDD,Both
SVR,Zaliv Shipbuilding,Landline
Raiffiesen Bank,Costamare,Both
Raiffiesen Bank,Telecom Austria Group,Wireless
Lasta,Raiffeisen Bank,Landline
TVSAT-2,Dansmark NationalBank,Wireless
TVSAT-2,Tchibo Mobilfunk,Wireless
Dansmark Nationalbank,Tchibo Mobilfunk,Both
Dansmark Nationalbank,DFS Kopernikus-2,Wireless
Telia Company AB,HMD Global,Wireless
